Present	Past	Perfect
awake	awoke	awaken
be	was/were	been
beat	beat	beaten
begin	began	begun
bend	bent	bent
bet	bet	bet
bid	bid	bid
bind	bound	bound
bite	bit	bitten
bleed	bled	bled
blow	blew	blown
breed	bred	bred
break	broke	broken
bring	brought	brought
build	built	built
burst	burst	burst
buy	bought	bought
cast	cast	cast
catch	caught	caught
choose	chose	chosen
cling	clung	clung
come	came	come
cost	cost	cost
creep	crept	crept
cut	cut	cut
do	did	done
deal	dealt	dealt
dig	dug	dug
dream	dreamt	dreamt
draw	drew	drawn
drink	drank	drunk
drive	drove	driven
dwell	dwelt	dwelt
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
flee	fled	fled
fling	flung	flung
fly	flew	flown
forget	forgot	forgotten
forgive	forgave	forgiven
freeze	froze	frozen
get	got	gotten
give	gave	given
go	went	gone
grind	ground	ground
grow	grew	grown
hang	hung	hung
have	had	had
hear	heard	heard
hide	hid	hidden
hit	hit	hit
hold	held	held
hurt	hurt	hurt
keep	kept	kept
know	knew	known
lay	laid	laid
lead	led	led
leave	left	left
lend	lent	lent
let	let	let
lie	lay	lain
light	lit	lit
lose	lost	lost
make	made	made
mean	meant	meant
meet	met	met
pay	paid	paid
put	put	put
quit	quit	quit
read	read	read
rend	rent	rent
rid	rid	rid
ride	rode	ridden
ring	rang	rung
rise	rose	risen
run	ran	run
say	said	said
see	saw	seen
seek	sought	sought
sell	sold	sold
send	sent	sent
set	set	set
sew	sewed	sewn
shake	shook	shaken
shed	shed	shed
shine	shone	shone
shoot	shot	shot
show	showed	shown
shrink	shrank	shrunk
sing	sang	sung
sink	sank	sunk
sit	sat	sat
sleep	slept	slept
slide	slid	slid
sling	slung	slung
slink	slunk	slunk
slit	slit	slit
sow	sowed	sown
speak	spoke	spoken
spend	spent	spent
spin	spun	spun
split	split	split
spread	spread	spread
spring	sprang	sprung
stand 	stood	stood
steal 	stole	stolen
stick 	stuck	stuck
sting 	stung	stung
stink 	stank	stunk
stride 	strode	stridden
strike	struck	stricken
string 	strung	strung
strive 	strove	striven
swear 	swore	sworn
sweep 	swept	swept
swell 	swelled	swollen
swim 	swam	swum
swing 	swung	swung
take 	took	taken
teach 	taught	taught
tear 	tore	torn
tell 	told	told
think 	thought	thought
thrust 	thrust	thrust
tread 	trod	trodden
wear 	wore	worn
weave 	wove	woven
wed 	wed	wed
weep 	wept	wept
wet 	wet	wet
win 	won	won
wind 	wound	wound
wring 	wrung	wrung
write 	wrote	written
